Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_idd,shell_density_numsel_Currentcluster
4547,7.0,38798000.0,0.61219,210.0,5.0,0.0,5.0,80.952,214.07412342212388,0.0,330.1459938599448,0.0,SP3,3,214.07412342212388,10.0,330.1459938599448
4548,7.0,50971000.0,0.6704899999999999,230.0,6.0,0.0,6.0,89.436,195.5381963986948,0.0,136.46016332098188,0.0,SP3,3,195.5381963986948,11.0,136.46016332098188
4549,7.0,65457000.0,0.7288,250.0,6.0,0.0,6.0,97.921,152.26450049097687,0.0,0.0,0.0,SP3,3,152.26450049097687,12.0,0.0
4550,7.0,82456000.0,0.7871,270.0,7.0,0.0,7.0,106.35,141.01953741079103,0.0,97.71925219755941,0.0,SP3,3,141.01953741079103,13.0,97.71925219755941
4551,7.0,102170000.0,0.8454,290.0,10.0,0.0,10.0,114.78,162.58486523503106,0.0,252.7842499908155,0.0,SP3,3,162.58486523503106,14.0,252.7842499908155
4552,7.0,124800000.0,0.9037,310.0,15.0,0.0,15.0,123.22,199.6549961666241,0.0,367.0193477919382,0.0,SP3,3,199.6549961666241,15.0,367.0193477919382
4553,7.0,150540000.0,0.9620000000000001,330.0,16.0,0.0,16.0,131.66,176.55156828551213,0.0,64.53494825587849,0.0,SP3,3,176.55156828551213,16.0,64.53494825587849
4554,7.0,179610000.0,1.0203,350.0,19.0,0.0,19.0,140.11,175.72218581381847,0.0,171.42720001097138,0.0,SP3,3,175.72218581381847,17.0,171.42720001097138
4555,7.0,212190000.0,1.0786,370.0,24.0,0.0,24.0,148.55,187.8840173172699,0.0,254.93087294449242,0.0,SP3,3,187.8840173172699,18.0,254.93087294449242
4556,7.0,248490000.0,1.1369,390.0,24.0,0.0,24.0,157.0,160.4374809229808,0.0,0.0,0.0,SP3,3,160.4374809229808,19.0,0.0
4557,7.0,288710000.0,1.1952,410.0,27.0,0.0,27.0,165.45,155.34792123192975,0.0,123.90324973443406,0.0,SP3,3,155.34792123192975,20.0,123.90324973443406
4558,7.0,333060000.0,1.2535,430.0,28.0,0.0,28.0,173.91,139.64939622583543,0.0,37.45500717263387,0.0,SP3,3,139.64939622583543,21.0,37.45500717263387
4559,7.0,381720000.0,1.3118,450.0,31.0,0.0,31.0,182.36,134.9025898860308,0.0,102.4124271335581,0.0,SP3,3,134.9025898860308,22.0,102.4124271335581
4560,7.0,434910000.0,1.3701,470.0,34.0,0.0,34.0,190.82,129.86228257711852,0.0,93.6903309704632,0.0,SP3,3,129.86228257711852,23.0,93.6903309704632
4561,7.0,492830000.0,1.4284,490.0,38.0,0.0,38.0,199.27,128.08255095680022,0.0,114.71889282502157,0.0,SP3,3,128.08255095680022,24.0,114.71889282502157
4562,7.0,555670000.0,1.4867,510.0,39.0,0.0,39.0,207.73,116.5872787016506,0.0,26.434270657325147,0.0,SP3,3,116.5872787016506,25.0,26.434270657325147
4563,7.0,623640000.0,1.545,530.0,40.0,0.0,40.0,216.19,106.54413239088656,0.0,24.439157983026515,0.0,SP3,3,106.54413239088656,26.0,24.439157983026515
4564,7.0,696940000.0,1.6033,550.0,41.0,0.0,41.0,224.65,97.7219162228582,0.0,22.662067777712306,0.0,SP3,3,97.7219162228582,27.0,22.662067777712306
4565,7.0,775770000.0,1.6616,570.0,43.0,0.0,43.0,233.11,92.07441822778843,0.0,42.14460403669446,0.0,SP3,3,92.07441822778843,28.0,42.14460403669446
4566,7.0,860320000.0,1.7199,590.0,44.0,1.0,43.0,241.57,84.95641272628527,1.930827561961029,19.646712810246154,19.646712810246154,SP3,3,83.02558516432424,29.0,0.0
4567,8.0,4201.3,0.024592,10.0,0.0,0.0,0.0,0.00099557,0.0,0.0,0.0,0.0,SP3,3,0.0,0.0,0.0
4568,8.0,113210.0,0.073726,30.0,0.0,0.0,0.0,0.54769,0.0,0.0,0.0,0.0,SP3,3,0.0,1.0,0.0
4569,8.0,523900.0,0.12286,50.0,0.0,0.0,0.0,6.472,0.0,0.0,0.0,0.0,SP3,3,0.0,2.0,0.0
4570,8.0,1437300.0,0.172,70.0,0.0,0.0,0.0,13.37,0.0,0.0,0.0,0.0,SP3,3,0.0,3.0,0.0
4571,8.0,3054600.0,0.22113,90.0,0.0,0.0,0.0,20.478,0.0,0.0,0.0,0.0,SP3,3,0.0,4.0,0.0
4572,8.0,5576700.0,0.27026,110.0,0.0,0.0,0.0,27.727,0.0,0.0,0.0,0.0,SP3,3,0.0,5.0,0.0
4573,8.0,9204700.0,0.3194,130.0,0.0,0.0,0.0,34.32,0.0,0.0,0.0,0.0,SP3,3,0.0,6.0,0.0
4574,8.0,14140000.0,0.36853,150.0,0.0,0.0,0.0,40.565,0.0,0.0,0.0,0.0,SP3,3,0.0,7.0,0.0
4575,8.0,20583000.0,0.41767,170.0,1.0,0.0,1.0,46.825,80.70395802877677,0.0,257.81927178431044,0.0,SP3,3,80.70395802877677,8.0,257.81927178431044
4576,8.0,28735000.0,0.4668,190.0,2.0,0.0,2.0,53.091,115.61716151775272,0.0,203.76957410528854,0.0,SP3,3,115.61716151775272,9.0,203.76957410528854
4577,8.0,38797000.0,0.51594,210.0,4.0,0.0,4.0,59.364,171.26371297845836,0.0,330.178805030076,0.0,SP3,3,171.26371297845836,10.0,330.178805030076
4578,8.0,50971000.0,0.56507,230.0,5.0,0.0,5.0,65.643,162.94849699891236,0.0,136.44895417334584,0.0,SP3,3,162.94849699891236,11.0,136.44895417334584
4579,8.0,65457000.0,0.61421,250.0,6.0,0.0,6.0,71.925,152.26450049097687,0.0,114.67137706104602,0.0,SP3,3,152.26450049097687,12.0,114.67137706104602
4580,8.0,82456000.0,0.6633399999999999,270.0,7.0,0.0,7.0,78.211,141.01953741079103,0.0,97.71925219755941,0.0,SP3,3,141.01953741079103,13.0,97.71925219755941
4581,8.0,102170000.0,0.71248,290.0,11.0,0.0,11.0,84.499,178.84335175853417,0.0,337.04566665442064,0.0,SP3,3,178.84335175853417,14.0,337.04566665442064
4582,8.0,124800000.0,0.76161,310.0,14.0,0.0,14.0,90.788,186.34466308884913,0.0,220.2116086751629,0.0,SP3,3,186.34466308884913,15.0,220.2116086751629
4583,8.0,150540000.0,0.81074,330.0,18.0,0.0,18.0,97.08,198.62051432120117,0.0,258.13979302351396,0.0,SP3,3,198.62051432120117,16.0,258.13979302351396
4584,8.0,179610000.0,0.85988,350.0,21.0,0.0,21.0,103.37,194.2192580047467,0.0,171.42720001097138,0.0,SP3,3,194.2192580047467,17.0,171.42720001097138
4585,8.0,212190000.0,0.90901,370.0,28.0,0.0,28.0,109.66,219.19802020348152,0.0,356.90322212228926,0.0,SP3,3,219.19802020348152,18.0,356.90322212228926
4586,8.0,248490000.0,0.95815,390.0,34.0,0.0,34.0,115.96,227.2864313075561,0.0,274.566870761374,0.0,SP3,3,227.2864313075561,19.0,274.566870761374
4587,8.0,288710000.0,1.0073,410.0,37.0,0.0,37.0,122.25,212.88418835486667,0.0,123.90324973443406,0.0,SP3,3,212.88418835486667,20.0,123.90324973443406
4588,8.0,333060000.0,1.0564,430.0,40.0,0.0,40.0,128.55,199.49913746547915,0.0,112.36502151790162,0.0,SP3,3,199.49913746547915,21.0,112.36502151790162
4589,8.0,381720000.0,1.1056,450.0,44.0,0.0,44.0,134.84,191.47464370920503,0.0,136.54990284474408,0.0,SP3,3,191.47464370920503,22.0,136.54990284474408
4590,8.0,434910000.0,1.1547,470.0,44.0,0.0,44.0,141.14,168.05707157038867,0.0,0.0,0.0,SP3,3,168.05707157038867,23.0,0.0
4591,8.0,492830000.0,1.2038,490.0,47.0,0.0,47.0,147.44,158.41789197288455,0.0,86.03916961876618,0.0,SP3,3,158.41789197288455,24.0,86.03916961876618
4592,8.0,555670000.0,1.253,510.0,50.0,0.0,50.0,153.73,149.47087013032126,0.0,79.30281197197544,0.0,SP3,3,149.47087013032126,25.0,79.30281197197544
4593,8.0,623640000.0,1.3021,530.0,49.0,0.0,49.0,160.03,130.516562178836,0.0,-24.439157983026515,0.0,SP3,3,130.516562178836,26.0,-24.439157983026515
4594,8.0,696940000.0,1.3512,550.0,46.0,0.0,46.0,166.33,109.63922307930432,0.0,-67.98620333313693,0.0,SP3,3,109.63922307930432,27.0,-67.98620333313693
