tomo_set,sub_group_type,idd,clustersubgroup,PC1-axis,PC2-axis,PC3-axis,eccentricity,numPar
SP2_4,SP2,4,13,708.3692070124225,455.7243225146127,314.4407104869759,0.5561061839303503,23
SP2_4,SP2,4,14,607.8080062925654,469.2948085624373,285.08089941916035,0.5309688314932495,14
SP2_4,SP2,4,15,539.0717207490816,221.19645788359787,108.56531996975625,0.7986069092645105,11
SP2_4,SP2,4,16,676.181636096622,333.11530942374156,236.24630695646974,0.6506170911114308,18
SP2_4,SP2,4,17,590.3977202138138,378.58830841064037,332.888297635977,0.43616263031059677,19
SP2_4,SP2,4,18,767.3622535976415,677.6955666558301,436.16793783976965,0.43160099966492516,35
SP2_4,SP2,4,19,425.9252627829841,279.04465940488626,137.77831724504327,0.6765199689147259,10
SP2_4,SP2,4,20,281.35384521219845,216.16129421632752,191.7760872534947,0.31838113991704564,11
SP2_4,SP2,4,21,372.05693672157406,387.82528769943013,220.5510892320505,0.40721145753802146,10
SP2_4,SP2,4,22,293.7438793199684,203.91904624574676,80.60061664579382,0.7256092047521527,7
SP2_4,SP2,4,23,7130.764851389008,7022.896991437883,890.4320911570485,0.875128109015739,304
SP3_2,SP3,2,0,1332.4998435442153,606.8337662369363,418.36760915514225,0.6860280238064734,48
SP3_2,SP3,2,1,1335.0721359574054,761.3547769019219,513.5521930214979,0.6153374943645125,65
SP3_2,SP3,2,2,1014.2210244056912,624.0152786633411,463.7563136530757,0.5427463023409265,43
SP3_2,SP3,2,3,1305.79939917213,872.7961452669763,564.5116194404575,0.5676888656876738,47
SP3_2,SP3,2,4,3696.2904007179086,1704.9780396036076,582.7062973675128,0.8423537562810711,199
SP3_2,SP3,2,5,515.2568651499174,347.1524229111154,86.943499330208,0.8312618322806602,10
SP3_2,SP3,2,6,886.8669541728676,637.7923104501021,479.8932242865352,0.4588892707879668,39
SP3_2,SP3,2,7,919.5860452896009,417.8409603356734,204.33182660216556,0.7778002095085987,21
SP3_2,SP3,2,8,670.3436169558227,348.71618493365986,259.9541557568257,0.6122076063954566,15
SP3_2,SP3,2,9,538.3088393942239,327.30805826563767,203.9532223620841,0.6211222862481709,14
SP3_2,SP3,2,10,7072.157667620743,6630.994329692583,1075.7388382186268,0.8478909989317965,91
SP3_3,SP3,3,0,1151.166282574069,676.4732774077634,362.18246028061765,0.685377807043863,39
SP3_3,SP3,3,1,2688.5481578153685,1708.8470973516216,608.3627821365418,0.7737207048465597,218
SP3_3,SP3,3,2,743.7460744931724,535.2872789619363,409.56611579191156,0.449319963038445,27
SP3_3,SP3,3,3,2179.5556256666196,1346.9246246555294,527.3912199413235,0.7580280981449967,120
SP3_3,SP3,3,4,1114.9957428629184,460.9231020655492,477.1791003181695,0.5720350473330591,38
SP3_3,SP3,3,5,346.9797294790968,163.5613103969703,92.60467914382465,0.7331121351588826,9
SP3_3,SP3,3,6,1080.1799229948892,573.5331025501328,352.7390241309438,0.6734441951550578,44
SP3_3,SP3,3,7,1132.300420624217,635.2853217312763,411.78261885644395,0.6363309494935667,52
SP3_3,SP3,3,8,1562.8233694219214,847.6011900423085,633.2168666574153,0.594825058898602,87
SP3_3,SP3,3,9,288.1111925241944,196.4795598226145,111.7910262483974,0.6119865206589998,6
SP3_3,SP3,3,10,1967.672290421874,1018.6935814252937,477.18396178702574,0.7574880918383435,93
SP3_3,SP3,3,11,1701.0973391386915,792.0260278499043,557.3040062423433,0.6723855869855628,80
SP3_3,SP3,3,12,456.45557791191163,312.750342353261,110.23705113124493,0.758493363942375,9
SP3_3,SP3,3,13,767.7811898169837,497.2672389819388,247.9471061924251,0.6770601969924162,22
SP3_3,SP3,3,14,6898.12344624943,6705.808658545941,724.2077532170299,0.8950138021071821,97
SP3_4,SP3,4,0,1012.649336210898,443.0886106284954,373.16161345464684,0.6314996710994428,60
SP3_4,SP3,4,1,949.2451495638792,606.2411155183856,296.95206213011755,0.6871703139420317,64
SP3_4,SP3,4,2,735.9481661033436,415.52514826456843,290.5463567060005,0.6052081245825114,44
SP3_4,SP3,4,3,395.34970627839266,93.12726319494874,57.80044166755483,0.8537992042243896,12
SP3_4,SP3,4,4,2761.857085452929,2137.342695407778,319.066854547155,0.8844737998111043,304
SP3_4,SP3,4,5,1907.0289732951928,1528.7340780226482,310.11838555433286,0.8373813980295888,168
SP3_4,SP3,4,6,2293.2529256949642,948.0515042250763,303.21883031277224,0.8677778508792777,194
SP3_4,SP3,4,7,364.923944616757,268.58038832954946,95.56795168783115,0.7381154262480731,16
SP3_4,SP3,4,8,1315.7336620042715,450.5635564169926,209.80440011285503,0.8405418921993242,58
SP3_4,SP3,4,9,473.9693163966373,404.53089894218493,174.23703418301866,0.6323875235054037,18
SP3_4,SP3,4,10,754.9209668034015,444.29358951534243,222.9775899249267,0.7046345250296975,38
SP3_4,SP3,4,11,1262.237974756781,682.3015165295697,38.08693969391096,0.9698258644917969,45
SP3_4,SP3,4,12,2115.991295022646,874.8492360359983,242.65554471942568,0.885322994810889,196
SP3_4,SP3,4,13,1550.2007672141758,766.6518292014833,262.97766327266345,0.8303589645712448,147
SP3_4,SP3,4,14,1462.1202662255782,1003.4940212809788,276.68163959121637,0.8107668391017777,124
SP3_4,SP3,4,15,539.9840517519874,372.06934760155616,259.0308796391221,0.5202990184641714,22
SP3_4,SP3,4,16,697.2926137997824,299.656433024429,220.50807559761398,0.6837653644486621,22
SP3_4,SP3,4,17,690.6837303484145,344.2159726264704,115.98150353652441,0.8320772613566303,24
SP3_4,SP3,4,18,1251.696923950078,1005.9469078444663,278.8334836828955,0.7772356244170043,94
SP3_4,SP3,4,19,467.2709936317167,316.6074063368467,126.20060734527505,0.7299198771907056,24
SP3_4,SP3,4,20,1137.3677590813493,452.64627227699833,187.7944372043466,0.8348867939108561,76
SP3_4,SP3,4,21,6451.130843810675,4429.765148995537,320.3260203835677,0.9503457567147481,48
nucleiA_1,nucleiA,1,0,535.9352780447362,318.76593942130035,247.88024177972147,0.5374810132222156,25
nucleiA_1,nucleiA,1,1,464.8958655125816,389.7818588886485,223.1230973762211,0.5200579012889013,25
nucleiA_1,nucleiA,1,2,484.555433672575,404.07847198813977,258.60646500948803,0.4663015889648774,28
nucleiA_1,nucleiA,1,3,315.67299121477265,301.1507787600443,296.24920871652273,0.06153134109922842,23
nucleiA_1,nucleiA,1,4,478.88172856110094,395.5176929454145,206.10357643434457,0.5696148670077154,12
nucleiA_1,nucleiA,1,5,424.4644650154979,288.66649472876566,228.03518995593626,0.46276965741381837,19
nucleiA_1,nucleiA,1,6,412.0254561702436,231.44903931556715,156.98954838195266,0.6189809487958273,13
nucleiA_1,nucleiA,1,7,376.36819382915445,273.959730096532,140.04865793109252,0.6278945452158344,12
nucleiA_1,nucleiA,1,8,314.74846269757177,237.41355616234046,132.40098333900073,0.5793435106743663,13
nucleiA_1,nucleiA,1,9,919.5555998607579,425.22076324683303,390.57203077023775,0.5752600160018824,29
nucleiA_1,nucleiA,1,10,868.8200152739211,530.322059030106,439.4996687034637,0.49414186945854544,47
nucleiA_1,nucleiA,1,11,356.38828374507113,358.7544740324143,104.28325114643366,0.7073886659500044,12
nucleiA_1,nucleiA,1,12,524.7306292451204,379.7661794874335,116.83210594110302,0.7773484156829606,14
nucleiA_1,nucleiA,1,13,5833.903360920933,5604.126152442482,484.8753347160233,0.9168866358047656,172
nucleiA_2,nucleiA,2,0,616.495305474634,351.5239685330008,266.2410818443066,0.5681376979191592,34
nucleiA_2,nucleiA,2,1,478.41489203471605,325.4537723262599,270.8284906275221,0.4339045561987449,56
nucleiA_2,nucleiA,2,2,745.7955749296693,368.0551360902932,325.2718377763839,0.5638592548540423,58
nucleiA_2,nucleiA,2,3,531.0159987491087,365.11285799077814,237.80158749291263,0.5521762281115983,36
nucleiA_2,nucleiA,2,4,500.7083960348108,302.173251437977,241.0383305625898,0.5186053749619328,38
nucleiA_2,nucleiA,2,5,592.3955673723497,298.4408111271293,203.3247974096978,0.6567752889989162,48
nucleiA_2,nucleiA,2,6,304.9722411011818,201.5507621348885,184.12990150153368,0.3962404550765517,22
nucleiA_2,nucleiA,2,7,614.525810144534,249.4309650428675,151.5156161055603,0.7534430391623024,28
nucleiA_2,nucleiA,2,8,322.9278662186672,228.32056014154142,156.04758439535044,0.5167726272043538,32
nucleiA_2,nucleiA,2,9,449.8413740939969,213.6004621350585,142.07479146429478,0.6841669093901366,14
nucleiA_2,nucleiA,2,10,657.7603030006053,247.02622518594532,69.60821242910939,0.89417389266034,16
nucleiA_2,nucleiA,2,11,274.8008256924078,259.88781140512674,60.0036499426669,0.7816467625543795,12
nucleiA_2,nucleiA,2,12,496.1992085919544,174.82642826574914,115.33145059340673,0.7675702649331537,20
nucleiA_2,nucleiA,2,13,371.4278591163905,319.17929565342376,189.37420835691475,0.4901453843353939,46
nucleiA_2,nucleiA,2,14,393.03684821745793,175.7132171157889,93.96234508187445,0.7609324787026398,20
nucleiA_2,nucleiA,2,15,7570.043768534573,6442.631361765065,575.59285254065,0.9239643956970047,258
nucleiA_3,nucleiA,3,0,658.518446272926,462.59911221766504,365.7631245796768,0.44456662277295633,43
nucleiA_3,nucleiA,3,1,580.5712155386993,240.5441583625684,252.44225801630665,0.5651829590241207,26
nucleiA_3,nucleiA,3,2,345.85803857601394,313.9218644220721,277.31271216854265,0.19818919545629166,28
