Unnamed: 0,selgroup,volseg,pixelRato2initalMask,sradius,numsel_allcluster,numsel_noisecluster,numsel_Currentcluster,shelldistance,vol_density_numsel_allcluster,vol_density_numsel_noisecluster,shell_density_numsel_allcluster,shell_density_numsel_noisecluster,sub_group_type,idd,vol_density_numsel_Currentcluster,shell_density_numsel_Currentcluster
652,9.0,1288900000.0,2.0524,330.0,25.0,1.0,24.0,455.37,32.219907830442864,1.2887963132177147,0.0,0.0,SP2,1,30.931111517225148,0.0
653,9.0,1537600000.0,2.1768,350.0,25.0,1.0,24.0,484.51,27.008480230656748,1.0803392092262698,0.0,0.0,SP2,1,25.928141021430477,0.0
654,10.0,33898.0,0.073988,10.0,0.0,0.0,0.0,0.0012268,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
655,10.0,915070.0,0.22195,30.0,0.0,0.0,0.0,30.463,0.0,0.0,0.0,0.0,SP2,1,0.0,0.0
656,10.0,4236100.0,0.36991,50.0,1.0,0.0,1.0,60.923,392.1365331569869,0.0,500.1850534642302,0.0,SP2,1,392.1365331569869,500.1850534642302
657,10.0,11624000.0,0.5178699999999999,70.0,2.0,0.0,2.0,91.385,285.8103179811273,0.0,224.84462000112515,0.0,SP2,1,285.8103179811273,224.84462000112515
658,10.0,24706000.0,0.66584,90.0,7.0,0.0,7.0,121.85,470.6511364342341,0.0,634.8912888343955,0.0,SP2,1,470.6511364342341,634.8912888343955
659,10.0,45104000.0,0.8138,110.0,13.0,0.0,13.0,152.31,478.77537214841385,0.0,488.61542350416084,0.0,SP2,1,478.77537214841385,488.61542350416084
660,10.0,74452000.0,0.96176,130.0,13.0,0.0,13.0,182.77,290.04841220359503,0.0,0.0,0.0,SP2,1,290.04841220359503,0.0
661,10.0,114370000.0,1.1097,150.0,13.0,0.0,13.0,213.23,188.81423787166267,0.0,0.0,0.0,SP2,1,188.81423787166267,0.0
662,10.0,166490000.0,1.2577,170.0,13.0,0.0,13.0,243.69,129.70559424218908,0.0,0.0,0.0,SP2,1,129.70559424218908,0.0
663,10.0,232440000.0,1.4056,190.0,13.0,0.0,13.0,274.15,92.90433826097944,0.0,0.0,0.0,SP2,1,92.90433826097944,0.0
